id;description;frequency;features;grid;iterations;params
216;"";"semana";"fecha_cnt, tmax, tmin";"50,50";10000;""
217;"";"semana";"fecha_cnt, precip";"5,5";1000;""
218;"";"semana";"fecha_cnt, precip";"5,5";10000;""
219;"";"semana";"fecha_cnt, precip";"10,10";1000;""
220;"";"semana";"fecha_cnt, precip";"10,10";10000;""
221;"";"semana";"fecha_cnt, precip";"25,25";1000;""
222;"";"semana";"fecha_cnt, precip";"25,25";10000;""
223;"";"semana";"fecha_cnt, precip";"50,50";1000;""
224;"";"semana";"fecha_cnt, precip";"50,50";10000;""
225;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"5,5";1000;""
226;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"5,5";10000;""
227;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"10,10";1000;""
228;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"10,10";10000;""
229;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"25,25";1000;""
230;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"25,25";10000;""
231;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"50,50";1000;""
232;"";"semana";"tmax, tmin, precip, nevada, prof_nieve";"50,50";10000;""
233;"";"semana";"tmax, tmin, precip";"5,5";1000;""
234;"";"semana";"tmax, tmin, precip";"5,5";10000;""
235;"";"semana";"tmax, tmin, precip";"10,10";1000;""
236;"";"semana";"tmax, tmin, precip";"10,10";10000;""
237;"";"semana";"tmax, tmin, precip";"25,25";1000;""
238;"";"semana";"tmax, tmin, precip";"25,25";10000;""
239;"";"semana";"tmax, tmin, precip";"50,50";1000;""
240;"";"semana";"tmax, tmin, precip";"50,50";10000;""
241;"";"semana";"tmax, tmin";"5,5";1000;""
242;"";"semana";"tmax, tmin";"5,5";10000;""
243;"";"semana";"tmax, tmin";"10,10";1000;""
244;"";"semana";"tmax, tmin";"10,10";10000;""
245;"";"semana";"tmax, tmin";"25,25";1000;""
246;"";"semana";"tmax, tmin";"25,25";10000;""
247;"";"semana";"tmax, tmin";"50,50";1000;""
248;"";"semana";"tmax, tmin";"50,50";10000;""
249;"";"semana";"precip";"5,5";1000;""
250;"";"semana";"precip";"5,5";10000;""
251;"";"semana";"precip";"10,10";1000;""
252;"";"semana";"precip";"10,10";10000;""
253;"";"semana";"precip";"25,25";1000;""
254;"";"semana";"precip";"25,25";10000;""
255;"";"semana";"precip";"50,50";1000;""
256;"";"semana";"precip";"50,50";10000;""
257;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";1000;""
258;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";10000;""
259;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";1000;""
260;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";10000;""
261;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";1000;""
262;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";10000;""
263;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";1000;""
264;"";"mes";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
265;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
266;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
267;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
268;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
269;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
270;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";10000;""
271;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";1000;""
272;"";"mes";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";10000;""
